Date,New
12/22/2020,427
12/23/2020,46
12/24/2020,67
12/25/2020,81
12/26/2020,110
12/27/2020,121
12/28/2020,144
12/29/2020,155
12/30/2020,250
12/31/2020,194
1/1/2021,279
1/2/2021,216
1/3/2021,315
1/4/2021,745
1/5/2021,527
1/6/2021,365
1/7/2021,305
1/8/2021,205
1/9/2021,212
1/10/2021,245
1/11/2021,249
1/12/2021,287
1/13/2021,157
1/14/2021,271
1/15/2021,188
1/16/2021,230
1/17/2021,374
1/18/2021,369
1/19/2021,171
1/20/2021,59
1/21/2021,142
1/22/2021,309
1/23/2021,198
1/24/2021,198
1/25/2021,187
1/26/2021,959
1/27/2021,819
1/28/2021,756
1/29/2021,802
1/30/2021,930
1/31/2021,829
2/1/2021,836
2/2/2021,836
2/3/2021,795
2/4/2021,809
2/5/2021,586
2/6/2021,490
2/7/2021,237
2/8/2021,186
2/9/2021,189
2/10/2021,157
2/11/2021,201
2/12/2021,175
2/13/2021,126
2/14/2021,166
2/15/2021,143
2/16/2021,72
2/17/2021,175
2/18/2021,150
2/19/2021,130
2/20/2021,82
2/21/2021,92
2/22/2021,89
2/23/2021,95
2/24/2021,93
2/25/2021,72
2/26/2021,45
2/27/2021,72
2/28/2021,70
3/1/2021,80
3/2/2021,42
3/3/2021,35
3/4/2021,54
3/5/2021,79
3/6/2021,64
3/7/2021,65
3/8/2021,71
3/9/2021,60
3/10/2021,39
3/11/2021,58
3/12/2021,81
3/13/2021,78
3/14/2021,170
3/15/2021,78
3/16/2021,149
3/17/2021,248
3/18/2021,92
3/19/2021,100
3/20/2021,119
3/21/2021,90
3/22/2021,73
3/23/2021,401
3/24/2021,69
3/25/2021,97
3/26/2021,134
3/27/2021,80
3/28/2021,77
3/29/2021,39
3/30/2021,48
3/31/2021,42
4/1/2021,26
4/2/2021,58
4/3/2021,84
4/4/2021,96
4/5/2021,194
4/6/2021,250
4/7/2021,334
4/8/2021,405
4/9/2021,559
4/10/2021,789
4/11/2021,967
4/12/2021,985
4/13/2021,965
4/14/2021,1338
4/15/2021,1543
4/16/2021,1582
4/17/2021,1547
4/18/2021,1767
4/19/2021,1390
4/20/2021,1443
4/21/2021,1458
4/22/2021,1470
4/23/2021,2070
4/24/2021,2839
4/25/2021,2438
4/26/2021,2048
4/27/2021,2179
4/28/2021,2012
4/29/2021,1871
4/30/2021,1583
5/1/2021,1891
5/2/2021,1940
5/3/2021,2041
5/4/2021,1763
